Track name,Album name,Release date,Popularity,Duration
Hands up!,Sassy Scene,2023-03-03,1,2:15
party addict,party addict,2023-05-01,0,2:05
i dont wna cry (haste),i dont wna cry,2023-01-14,59,2:01
Ти неймовірна,Ти неймовірна,2022-12-14,48,2:48
unravel,Fantastic Magic,2014-08-27,74,3:58
Gladiator,Gladiator,2022-10-14,66,3:31
Cha Cha Cha,Cha Cha Cha,2023-01-17,66,2:55
Dark Side,Dark Side,2021-01-21,51,2:57
Me and the Birds,Contemporary Movement,2000-08-22,69,1:35
Hurt,Ugly is Beautiful,2020-07-17,63,2:25
KICK BACK,KICK BACK,2022-10-12,75,3:13
Under the Tree,Under the Tree,2023-03-04,61,2:01
The Rumbling,The Rumbling,2022-02-07,47,3:40
Boku no Sensou,Boku no Sensou,2021-02-22,64,4:40
Heartbeat,Camp,2011-11-15,17,4:29
Автозак,Автозак,2021-08-25,41,3:20
заблокуйте цю пісню,заблокуйте цю пісню,2022-06-16,35,3:32
діти сатани,діти сатани,2022-04-30,40,2:24
руzzкий мир,руzzкий мир,2022-04-24,31,2:27
your favorite dress,CASTLES II,2021-07-02,1,2:57
Revenge,17,2017-08-25,85,2:00
Brianstorm,Favourite Worst Nightmare,2007-04-22,70,2:52
Where Is My Mind?,Death to the Pixies,1997-10-06,76,3:49
help_urself - breakcore,help_urself (Alternates),2021-09-10,46,1:58
Haunted,Haunted,2021-03-12,65,1:42
SPIT IN MY FACE!,SPIT IN MY FACE!,2022-11-01,2,2:27
Я вб'ю всіх богів,Я вб'ю всіх богів,2022-09-02,47,3:38
Силуети,Силуети,2022-10-28,62,2:57
LIKE YXU WXULD KNXW (AUTUMN TREES),LIKE YXU WXULD KNXW (AUTUMN TREES),2022-10-07,53,3:30
MISA MISA!,MISA MISA!,2022-08-26,1,1:25
Balling,Balling,2021-07-30,48,3:40
Dripoholic,MEDIV Luff N Sip,2022-08-19,0,2:01
moment,moment,2019-12-19,73,2:09
The Perfect Girl,The Perfect Girl,2021-12-08,78,3:14
Sweater Weather,I Love You.,2013-04-22,93,4:00
Young,Vibes,2016,81,3:09
Notion,Notion,2021-12-02,84,3:15
Jealous,Jealous,2019-12-06,83,2:02
After Dark,Time,2014-10-06,79,4:19
505,Favourite Worst Nightmare,2007-04-22,89,4:13
The Search,The Search,2019-07-26,76,4:08
Miss You,Miss You,2022-08-05,22,3:26
Gangsta's Paradise,Gangsta's Paradise,1995-11-07,88,4:00
Freaks,Freaks,2021-05-15,87,2:27
Can You Feel My Heart,Sempiternal (Expanded Edition),2013-04-01,79,3:48
Painkiller,Human,2015-03-30,73,2:59
ZITTI E BUONI,Teatro d'ira - Vol. I,2021-03-19,75,3:14
Beggin',Chosen,2017-12-08,86,3:31
Never Back Down,From Water to War,2014-01-21,54,3:23
War of Change,The End Is Where We Begin,2012-04-17,73,3:51
The Resistance,Unleashed,2016-08-05,74,3:52
Sweet Dreams (Are Made Of This),Smells Like Children,1995,62,4:53
Rise,Rise (Deluxe Edition),2013-06-21,65,4:20
Die MF Die,Life,2001-12-06,67,3:06
Popular Monster,Popular Monster,2019-11-20,72,3:40
I Hate Everything About You,Three Days Grace,2003-04-19,83,3:51
How You Remind Me,Silver Side Up,2001-09-11,87,3:43
Feel Good Inc.,Demon Days,2005-05-23,90,3:42
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,2021-03-19,84,2:53
Monster,Awake,2009-08-21,82,2:58
Anthem Of The Lonely,World We View,2012-01-01,61,4:01
Seven Nation Army,Elephant,2003-04-01,86,3:52
Bring Me To Life,Fallen,2003-03-04,89,3:55
Take It Out On Me,Welcome To The Masquerade (Fan Edition),2009,68,3:17
In the End,Hybrid Theory (Bonus Edition),2000-10-24,90,3:36
Smells Like Teen Spirit,Nevermind (Remastered),1991-09-26,86,5:01
Hero,Awake,2009-08-21,77,3:06
life imitates life,kenopsia,2022-02-28,67,3:23
Світанок,Світанок,2023-06-30,20,2:01
Eyeless,Slipknot (10th Anniversary Edition),2009-09-09,67,3:56
Kingslayer (feat. BABYMETAL),POST HUMAN: SURVIVAL HORROR,2020-10-30,76,3:40
Ліпший день,Кращий час для зустрічі - ніколи,2022-12-09,39,2:37
Що з тобою,Що з тобою,2023-03-31,35,3:26
I Don't Care,I Don't Care,2021-09-24,71,3:01
ГНИЛІ РЕБРА,ГНИЛІ РЕБРА,2023-07-14,15,2:20
Chop Suey!,Toxicity,2001-09-04,88,3:30
absolute in doubt,crybaby,2016-06-10,2,3:47
Appreciate Life,Appreciate Life,2022-06-10,0,2:15
"Paint It Black (From ""Black Clover"")","Paint It Black (From ""Black Clover"")",2020-02-15,30,4:05
People = Shit,Iowa,2001,71,3:35
Custer,.5: The Gray Chapter (Special Edition),2014-10-15,77,4:14
Nero Forte,We Are Not Your Kind,2019-08-09,72,5:15
Бувай,Singles (2007-2008),2023-02-27,30,3:28
Dark Side Of The Moon,Dark Side Of The Moon,2020-11-30,69,2:48
Whispers in the Dark,Comatose,2006-10-03,70,3:24
Comatose,Comatose,2006-10-03,71,3:50
JUSTadICE,大森靖子,2020-02-12,53,3:50
witchblades,CASTLES II,2017-02-07,74,2:29
Falling Down - Bonus Track,"Come Over When You're Sober, Pt. 2",2018-11-09,86,3:16
PROTECTION CHARM,PROTECTION CHARM,2023-08-03,1,2:57
"Привіт, пробач!","Привіт, пробач!",2022-12-01,35,2:12
200 разів за хвилину,200 разів за хвилину,2023-03-10,31,2:40
all I want is you,all I want is you,2021-02-09,77,2:31
I'm so crazy for youuu </3,I'm so crazy for youuu </3,2021-04-13,74,1:50
Залежність,Залежність,2023-06-28,30,2:56
Bauklotze,"TV Anime ""Attack on Titan"" Original Soundtrack",2013,65,3:56
пісня про ромашку,пісня про ромашку,2023-03-03,39,3:00
Самота,Самота,2023-11-17,22,3:02
Я вже звик,Я вже звик,2023-11-17,18,2:32
The Devil in I,.5: The Gray Chapter (Special Edition),2014-10-15,76,5:42
Старі фотографії,Танго,2005-01-01,40,3:07
Y'all Want a Single,Take A Look In The Mirror,2003-11-21,72,3:17
A.D.I.D.A.S.,Life Is Peachy,1996-10-15,69,2:33
Cigaro,Mezmerize,2005-05-17,72,2:11
Heretic,Mono No Aware,2017-03-17,38,4:17
Parent Issues,Parent Issues,2023-02-03,0,1:03
OneShot,OneShot,2023-06-08,0,2:32
Hurt,Hurt,2023-01-13,48,2:07
It's Snowing Like It's the End of the World,Little Victories,2013-09-08,61,11:50
Various Types Of Ads,Various Types Of Ads,2020-12-16,2,1:52
Cigarettes out the Window,Who Really Cares,2016-02-25,88,3:18
彼女が12-14年間自分を切,黄色いチケット,2020-07-27,57,1:30
SMOKE IT OFF - Sped Up,SMOKE IT OFF!,2023-02-14,50,1:50
GOOD LOYAL THOTS,GOOD LOYAL THOTS,2023-03-15,76,1:42
Вільні,Вільні,2023-07-09,35,3:37
Shut Your Mouth,Nothing Remains The Same,2002-01-01,60,3:12
тисячі слів,тисячі слів,2023-06-11,0,2:49
I Can't - Sped Up,I Can't - Sped Up,2022-10-28,55,2:01
BIKE,BONUS EP,2023-01-24,2,1:39
"What's up, people?!",Bu-ikikaesu,2007-03-14,1,4:10
Judgement,Judgement,2023-01-15,3,3:46
katharsis,Katharsis,2018-11-21,0,4:22
RAHHHH,RAHHHH,2022-10-23,0,1:00
CRYSTALS,CRYSTALS,2023-03-18,20,1:08
BodyPartz,BodyPartz,2021-05-29,57,1:19
Última Oportunidad,Última Oportunidad,2022-10-30,38,2:08
Prescription,If,2008-04-29,0,3:05
Kerosene,(III),2012-01-01,73,3:12
Girl of My Dreams,Girl of My Dreams,2019-12-14,1,3:42
Twist,Life Is Peachy,1996-10-15,69,0:49
Akuma no Ko,Akuma no Ko,2022-01-10,67,3:47
masquerade,masquerade,2021-11-11,70,2:24
Дівчина з Порнхабу,Дівчина з Порнхабу,2023-02-16,29,2:46
Spotlight,Spotlight,2018-01-12,73,2:57
Suite-Pee,System Of A Down (Deluxe Version),1998,65,2:31
You See Big Girl / T:T,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",2017-06-07,66,5:59
Attack on Titan,"TV Anime ""Attack on Titan"" Original Soundtrack",2013,65,4:16
eyes don't lie,eyes don't lie,2023-07-07,77,2:30
Numbers (I Can Only Count to Four),Space Vampires vs Zombie Dinosaurs in 3D,2011-08-16,57,4:14
stain,stain,2023-10-27,38,2:48
"Winter (Nocturne of Ice) [From ""Stardew Valley""] [Piano Version]",Stardew Valley - A Piano Collection,2021-09-21,32,2:53
Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),2021-02-01,53,4:34
Great Escape,Great Escape,2017-11-01,51,3:27
All I Wanted,Brand New Eyes,2009-09-22,70,3:45
Somewhere Only We Know,Hopes And Fears,2004-05-10,88,3:57
Я закохуюсь в ...,Плакса,2023-11-24,22,2:28
Nisennen... Moshiku wa... Nimannen Go no Kimi e,Nisennen... Moshiku wa... Nimannen Go no Kimi e,2023-11-05,55,4:44
ride like lightning,ride like lightning,2023-09-29,39,2:00
right here,right here,2016-11-15,73,2:56
anata shi t0,anata shi t0,2023-12-07,27,2:22
Квітка,Квітка,2023-12-15,14,2:26
"Шкода, що я","Шкода, що я",2023-12-22,24,2:59
Fahrradsattel,Kohlrübenwinter,2016-09-19,17,1:49
fine (haste),fine,2023-11-30,34,2:11
She Swallowed Burning Coals,¡Roar!,2013-01-01,48,4:39
Covet,Colourmeinkindness,2012-10-23,74,3:47
Gimme Chocolate!!,BABYMETAL,2015-10-30,35,3:52
Under The Ladder,OCTOPUS,2019-01-01,43,3:00
ASTRO,ASTRO,2023-09-08,66,2:24
ハルカミライ,#HAL,2017-11-22,1,2:56
INVINCIBLE,RITUAL,2024-01-26,25,1:58
savior,savior,2023-07-20,55,2:12
My Own Summer (Shove It),Around the Fur,1997-10-27,81,3:34
Be Quiet and Drive (Far Away),Around the Fur,1997-10-27,81,4:59
GLASSS,GLASSS,2024-01-11,27,2:54
DREAMER,DREAMER,2024-01-12,34,3:00
ONE CALL,ONE CALL,2023-11-03,69,2:01
R.I.P.,Die Lit,2018-05-11,75,3:12
Не прокинусь,Не прокинусь,2024-02-16,39,3:21
Loneliness,Dehumanizing Loneliness,2023-10-13,60,5:23
Realize,Realize,2023-12-24,68,1:55
King,Revenge,2017-05-16,66,1:52
The Orphan,Fear & Dagger,2022-03-25,53,6:23
Washing Machine Heart,Be the Cowboy,2018-08-17,85,2:08
My Love Mine All Mine,The Land Is Inhospitable and So Are We,2023-09-15,89,2:17
if u think i'm pretty,if u think i'm pretty,2023-10-24,72,2:08
A Match Into Water,Collide With The Sky,2012-07-17,75,3:32
7 Words,Adrenaline,1995,71,3:43
Engine No. 9,Adrenaline,1995,68,3:24
Romantic Homicide,Romantic Homicide,2022-07-20,88,2:12
Шрам (rock version),Шрам,2023-06-30,31,1:47
Faster n Harder,Faster n Harder,2024-02-28,69,2:03
i like the way you kiss me,i like the way you kiss me,2024-03-19,85,2:22
Sweet Illness Of Mine,Erotik,2009-01-19,46,3:12
光るなら,Milk,2015-02-25,72,4:12
Myspys,Dekadens,2009-10-08,48,4:05
Your face,Your face,2023-04-04,11,3:47
IN MY MOUTH,WASTEISOLATION,2018-04-13,66,3:03
"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Tokyo Drift (Fast & Furious),2006-01-01,75,4:15
medusa,Love is a shitty concept,2022-10-27,43,3:02
The Code,The Code,2024-02-29,69,3:00
la noia,la noia,2024-02-07,64,3:09
First Sight,First Sight,2020-08-25,44,2:50
Твій біль пожирає мене,Кращий час для зустрічі - ніколи,2022-12-09,25,3:04
CODE MISTAKE,CODE MISTAKE,2023-06-30,68,2:45
icantbelieveiletyougetaway,icantbelieveiletyougetaway,2024-05-31,1,2:15
カワキヲアメク,カワキヲアメク,2019-01-30,71,4:11
Кращий час для зустрічі - ніколи,Кращий час для зустрічі - ніколи,2022-12-09,30,2:43
3S`,MSI B-SIDES vol.1,2024-06-15,62,2:30
Creep,Pablo Honey,1993-02-22,91,3:58
Around the Fur,Around the Fur,1997-10-27,70,3:31
Aerials,Toxicity,2001-09-04,85,3:55
innocent arrogance,innocent arrogance,2023-04-02,52,3:31
Decadence,Ten Thousand Fists,2005-09-19,70,3:24
Tempest,Koi No Yokan,2012-11-09,65,6:05
Rosemary,Koi No Yokan,2012-11-09,77,6:53
Gauze,Koi No Yokan,2012-11-09,60,4:41
Добровольці,Добровольці,2022-12-02,45,2:43
let me go,year of the cat,2024-01-26,66,2:21
Enough for you,Enough for you,2024-03-15,4,3:05
skin,year of the cat,2024-01-26,71,1:50
Wait and Bleed,Slipknot,1999,77,2:27
Everlong,The Colour And The Shape,1997-05-20,86,4:10
Не помирай,Не помирай,2024-08-30,28,2:19
Spit It Out,Slipknot,1999,72,2:39
The Emptiness Machine,The Emptiness Machine,2024-09-05,83,3:10
My Favourite Game,Gran Turismo (Remastered),1998-01-01,74,3:40
Song 2 - 2012 Remaster,Blur (Special Edition),1997-02-10,81,2:01
Void in Blue,Void in Blue,2018-08-31,68,4:38
SYSTEMA / PROTEЗ,REACTOR,2024-01-31,16,3:25
HATE IS OK (no),REACTOR,2024-01-31,17,3:03
nuts,LIVE FOREVER,2015-12-02,85,1:25
Косяк,Рефлексія,2023-08-04,25,1:49
"No talk, we need weapons",Bad habit,2023-10-06,17,3:06
На вустах,На вустах,2024-02-27,7,3:32
ВЖЕ І НЕМА,НЕВПИННЕ ВІДЧУТТЯ,2023-10-06,1,3:14
Voices In My Head,Popular Monster,2024-08-16,71,3:11
Dethrone,Finding God Before God Finds Me (Deluxe),2020-01-17,50,3:29
NEON JUMP,NEON JUMP,2024-07-05,52,1:29
I can't,I can't,2023-10-04,53,3:19
Не можу спинитись,Кращий час для зустрічі - ніколи,2022-12-09,25,2:45
Феромони,Феромони,2023-10-27,18,2:25
Твоя ванна і стіни,"Сьогодні місяць гарний, правда?",2023-12-08,22,2:19
Що приносить листопад?,"Сьогодні місяць гарний, правда?",2023-12-08,17,2:42
Пісня про сни,Кращий час для зустрічі - ніколи,2022-12-09,24,2:49
Мій drug,Кращий час для зустрічі - ніколи,2022-12-09,25,2:41
Shove,Qualm,2024-05-03,2,3:19
Pollution,"Three Dollar Bill, Y'all $",1997-01-01,57,3:52
Back to School (Mini Maggit),White Pony,2000-05-16,64,3:57
Sarcasm,Best Kind Of Mess,2010-01-01,67,3:18
Сліди Насильства,Сліди Насильства,2023-02-17,33,2:36
不可思議のカルテ,【青春ブタ野郎はバニーガール先輩の夢を見ない】不可思議のカルテ,2018-10-03,70,3:59
It Fit When I Was a Kid,It Fit When I Was a Kid,2024-04-24,60,2:19
VVV,VVV,2024-03-10,53,3:47
M/s salmonella,Pulver,2006,50,5:00
Change (In the House of Flies),White Pony,2000-05-16,83,4:59
Shadows,Abyss,2015-03-10,68,3:28
Dark Beach,Abyss,2015-03-10,77,3:42
Місто розбитих надій,Місто розбитих надій,2023-12-22,40,2:26
Касета,Cassette,2021-12-13,61,2:24
Молодість,Cassette,2021-12-13,59,2:30
We Are The People,Walking On A Dream (10th Anniversary Edition),2008-10-03,88,4:27
Lonely Day,Hypnotize,2005-11-22,83,2:47
Black Hole Sun,Superunknown (Deluxe Edition),1994-03-09,82,5:18
Chainsaw Gutsfuck,Deathcrush,1993,52,3:32
unrequited,unrequited,2023-05-05,52,2:10
ALL THE THINGS SHE SAID,ALL THE THINGS SHE SAID,2023-01-30,43,2:24
I'M DEAD INSIDE,I'M DEAD INSIDE,2023-09-22,23,2:46
PINK DREAMS,PINK DREAMS,2024-11-15,34,3:16
BODY WITHOUT FEELINGS,BODY WITHOUT FEELINGS,2023-10-27,32,2:24
Awkward Motion,Awkward Motion,2021-04-09,40,3:27
WHAT YOU WANT!,WHAT YOU WANT!,2023-12-01,69,2:02
TG Symphonie,TVアニメ『東京喰種』ORIGINAL SOUNDTRACK,2015-03-25,37,7:05
Sextape,Diamond Eyes,2008,82,4:01
Beanie,Beanie,2023-11-28,88,2:12
脳内消去ゲーム,BRATS,2018-07-25,5,3:32
Voodoo People - Pendulum Mix,Their Law The Singles 1990 - 2005,2005-10-17,53,5:07
WASTE,DISORDER,2021-10-29,76,2:00
Breathing,Ocean Avenue,2003-01-01,64,3:38
Snitches And Talkers Get Stitches And Walkers,From Under The Cork Tree Limited Tour Edition,2006-01-01,47,2:50
Demon Speeding,The Sinister Urge,2001-01-01,63,3:44
Feel So Numb,The Sinister Urge,2001-01-01,67,3:53
Flat On the Floor,The Long Road,2003-09-23,58,2:02
Last Resort,Infest,2000-04-25,85,3:19
imoverstimulated,imoverstimulated,2022-12-23,47,3:42
цього вартує кохання,цього вартує кохання,2023-03-17,43,2:00
Попіл,УППА,2022-08-26,37,2:54
God Complex,God Complex,2022-04-23,65,2:59
БУДУ ЙОБНУТИМ,БУДУ ЙОБНУТИМ,2025-01-24,15,2:11
моя юність,моя юність,2023-05-11,28,2:19
Чоло,Чоло,2025-01-31,28,2:32
Аргумент,ЕПОХА,2024-11-15,38,2:12
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Random Access Memories,2013-05-20,78,6:09
Dream On,Aerosmith,1973-01-05,85,4:27
Today - 2011 Remaster,Siamese Dream (2011 - Remaster),1993-07-27,55,3:21
Сіль,Сіль,2025-01-24,42,2:51
I'm Still Standing,Too Low For Zero,1983-05-30,85,3:03
We Could Be The Same - Istanbul,We Could Be The Same,2010-04-16,57,3:03
Boys Don't Cry,Three Imaginary Boys,1979-05-11,79,2:35
Так гріє,Смирись и расслабься,2012-02-24,57,4:38
Can't Stop,By the Way (Deluxe Edition),2002-07-09,88,4:29
King For A Day,Collide With The Sky,2012-07-17,79,3:56
MOTHS,MOTHS,2024-03-27,48,2:40
drain you,drain you,2023-09-23,63,1:36
two,two,2024-10-04,83,2:15
SPINE,"DON'T WORRY, I'LL BE FINE",2024-09-20,63,3:00
I Feel Bad,I Feel Bad,2020-01-26,49,1:38
Major Fuck Off,Dekadens,2009-10-08,40,2:25
Zjerm,Zjerm,2024-12-10,53,3:04
Animal I Have Become,One-X,2006-06-13,77,3:51
Я ЇБАВ 2022,Я ЇБАВ 2022,2023-01-06,24,2:58
Can't Be Touched (feat. Mr. Magic & Trouble),"Body Head Bangerz, Vol. 1",2004-10-26,76,3:34
HOLUP,HOLUP,2025-03-14,39,2:11
Fairytale,Fairytales,2009-05-29,70,3:03
Lucid Dreams,Goodbye & Good Riddance,2018-12-10,86,3:59
Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,85,3:33
Break Stuff,Significant Other,1999,86,2:46
Я б зіграв,Я б зіграв,2022-10-01,39,3:14
2007,Третя,2024-01-17,38,2:45
Комахи,Комахи,2024-10-11,8,2:16
це не сильно радикально?,це не сильно радикально?,2025-03-28,47,2:49
Неук,Неук,2022-11-01,29,1:22
poster boy,2,2023-05-11,59,2:01
Звʼязок,Звʼязок,2024-03-22,10,3:23
Смерті не існує,Смерті не існує,2025-03-21,38,2:34
Минулого літа,Минулого літа,2023-09-15,30,2:48
Mitsuko,Mitsuko,2023-09-27,36,2:09
"Dear Diary,",POST HUMAN: SURVIVAL HORROR,2020-10-30,60,2:44
Floods,The Great Southern Trendkill,1996-05-03,71,6:59
Blank,Into You,2017-04-29,64,3:36
The Love I Lost,The Love I Lost,2023-04-28,70,1:52
Найкращий трек,Плакса,2023-11-24,21,3:30
Something About You,Mulholland Drive,2021-08-27,85,2:33
Vielleicht Vielleicht,Vielleicht Vielleicht,2023-10-20,76,2:22
愛♡スクリ～ム！,愛♡スクリ～ム！,2025-01-22,76,4:22
My Own Grave,Shaped By Fire,2019-09-20,59,4:13
Байдужість,Лімінальний,2024-05-31,31,3:39
Білий Шум,Білий Шум,2023-12-08,29,3:28
Youngest Daughter,Jar,2013-04-05,77,4:09
Blackhole,"The Sky, The Earth & All Between",2025-02-28,71,3:20
Погляди,Погляди,2024-05-31,42,3:34
I Was Made For Lovin' You,Dynasty,1979-03-23,86,4:31
Never Wanted To Dance,If,2008-04-29,0,3:08
Shut Me Up,You'll Rebel to Anything (Expanded and Remastered 2008),2005,72,2:48
Менуети - Тюльпани в целафані,Менуети (Тюльпани в целафані),2007-01-01,0,2:30
Everyday Normal Guy 2,You Want Some of This?,2009-03-18,75,3:15
My Alcoholic Friends,"Yes, Virginia",2006-03-29,75,2:47
Adagio for Strings,Just Be,2004-05-14,62,7:23
